sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),class
5.0627856,3.517717,1.736376,0.39501807,0
4.9406414,3.212664,1.8163215,0.39739326,0
5.0000052,3.3157368,1.776734,0.389135,0
5.0693674,3.419034,1.7853025,0.3963263,0
4.9979243,3.2856102,1.81892,0.39472836,0
4.9112816,3.0781455,1.8452803,0.39201096,0
5.0194545,3.2965991,1.8067708,0.4221863,0
5.0145063,3.3405147,1.8327351,0.3931568,0
5.076358,3.4400191,1.7931535,0.41534,0
5.0536466,3.3856442,1.8104509,0.40134323,0
5.123992,3.5450697,1.7719796,0.41894627,0
5.1892014,3.6675358,1.753752,0.39637753,0
5.0740366,3.4248044,1.8197908,0.41943434,0
5.0328226,3.342603,1.8107114,0.41766307,0
5.0195293,3.3144116,1.8129542,0.40280104,0
4.968031,3.2927182,1.7888066,0.39266664,0
5.115417,3.6015816,1.7413596,0.41023192,0
4.9464593,3.0830746,1.857059,0.39122128,0
5.0825458,3.5023415,1.7771645,0.4002188,0
4.867506,3.0050166,1.837752,0.39594683,0
5.000688,3.3384993,1.7820772,0.39977607,0
5.046048,3.4057186,1.7928786,0.4142835,0
5.060864,3.5143065,1.7586333,0.40332606,0
4.9669795,3.2711987,1.7941949,0.38580275,0
4.908541,3.1217227,1.818766,0.39335683,0
4.9795904,3.2970624,1.8017532,0.40677124,0
5.0392594,3.3098125,1.817576,0.40421617,0
5.062795,3.4342194,1.7955897,0.40758905,0
4.908618,3.0956187,1.839906,0.39991558,0
5.081521,3.4903533,1.7784398,0.39736462,0
5.1018276,3.57494,1.771208,0.4065333,0
5.047258,3.4749432,1.7281724,0.39966378,0
5.1321454,3.629806,1.7538981,0.40346357,0
4.9791284,3.2940955,1.7807834,0.3940058,0
5.0191197,3.2837102,1.8401264,0.4202161,0
5.0519547,3.356906,1.8121547,0.39077815,0
4.9881964,3.2694414,1.8160324,0.41189694,0
4.967562,3.3010087,1.785261,0.3889425,0
5.0506525,3.5958157,1.7121139,0.37215152,0
4.960791,3.3020108,1.7944809,0.3793001,0
5.0548506,3.3558006,1.874223,0.41310686,0
4.9591146,3.1814291,1.8245938,0.40243804,0
4.9280624,3.1816747,1.8038564,0.3974174,0
5.080046,3.6079762,1.7434456,0.40877202,0
5.021331,3.3742156,1.7673893,0.3920924,0
4.99313,3.2923317,1.8266952,0.40658343,0
5.0220613,3.3904164,1.7736759,0.3889218,0
4.975263,3.30054,1.7875212,0.39762157,0
5.11105,3.5246663,1.7853099,0.4136528,0
5.1177707,3.5242872,1.7787234,0.4164338,0
5.4484987,2.651573,4.275479,1.2156677,1
5.4564147,2.6623492,4.2882195,1.2062936,1
5.371674,2.6437707,4.062456,1.1551293,1
5.4022717,2.547948,4.3840647,1.2567976,1
5.4599457,2.5679193,4.377759,1.2717334,1
5.5338593,2.625718,4.6326017,1.3910668,1
5.391324,2.6054404,4.162318,1.1666099,1
5.30983,2.5511613,4.0949283,1.16365,1
5.313606,2.566056,4.063293,1.1643136,1
5.3632994,2.5654151,4.1843257,1.1942978,1
5.5630984,2.703155,4.5111184,1.2818183,1
5.3461943,2.5521502,4.190821,1.19337,1
5.3679028,2.5413406,4.2055244,1.192445,1
5.489132,2.6273398,4.2586155,1.2306961,1
5.4774723,2.557215,4.6097107,1.3561237,1
5.4763722,2.5652547,4.5863914,1.3364202,1
5.52966,2.625162,4.6101675,1.3401313,1
5.3962345,2.579028,4.325616,1.2628267,1
5.399065,2.6027894,4.2435803,1.2015122,1
5.415272,2.565348,4.4053926,1.2847174,1
5.4509416,2.5381522,4.471546,1.3018371,1
5.4581795,2.5173912,4.61699,1.3437039,1
5.497827,2.593533,4.528645,1.3146802,1
5.4806595,2.6230042,4.396753,1.2512764,1
5.4273696,2.5762043,4.393812,1.2565033,1
5.384951,2.5693984,4.2936573,1.2311733,1
5.3853517,2.5908012,4.223292,1.2156603,1
5.354913,2.5418875,4.2391043,1.2227863,1
5.4209423,2.5938804,4.329158,1.2465498,1
5.412289,2.5781884,4.3364797,1.2374699,1
5.4191556,2.6381993,4.351651,1.2326697,1
5.417967,2.5784335,4.2668366,1.2210225,1
5.466278,2.596703,4.413106,1.2686585,1
5.4210176,2.5991316,4.420104,1.2733178,1
5.424723,2.5668995,4.378644,1.2631168,1
5.461368,2.5982807,4.3755083,1.2681799,1
5.4323483,2.5647452,4.382757,1.2616484,1
5.4354396,2.5865974,4.413907,1.2650423,1
5.385781,2.5519521,4.3165565,1.229661,1
